name,para
空中交通管制,利用通信、导航技术和监控手段对飞机飞行活动进行监视和控制，保证飞行安全和有秩序飞行。 在飞行航线的空域划分不同的管理空域，包括航路、飞行情报管理区、进近管理区、塔台管理区、等待空域管理区等，并按管理区不同使用不同的雷达设备。 在管理空域内进行间隔划分，飞机间的水平和垂直方向间隔构成空中交通管理的基础。 由导航设备、雷达系统、二次雷达、通信设备、地面控制中心组成空中交通管理系统，完成监视、识别、导引覆盖区域内的飞机。
大圆航线角,大圆航线角是沿大圆航线上任何点与当地经线的交角。
航行速度三角形,航行速度三角形是地速表明飞行中的飞机相对于地面运动的速度。
等角航线,等角航线是指地球面上一条与所有经线相交成等方位角的曲线，又名恒向线、斜航线。在地球表面上除经线和纬线以外的等角航线，都是以极点为渐近点的螺旋曲线。
大圆航线,把地球看做一个球体，通过地面上任意两点和地心做一平面，平面与地球表面相交看到的圆周就是大圆。两点之间的大圆劣弧线是两点在地面上的最短距离。沿着这一段大圆弧线航行时的航线称为大圆航线。由于大圆航线是两点之间的最短航线，故有时称为最经济航线。
起落航线,
航向,"飞机纵轴前方的延长线叫航向线,飞机所在位置的经线北端顺时针测量至航向线的夹角叫做航向（HDG－Heading）。"
等磁差线,等磁差线指在航空地图上，连接磁差相等的各点的曲线。
地标领航,
航线,飞机飞行的路线称为空中交通线，简称航线。飞机的航线不仅确定了飞机飞行具体方向、起讫点和经停点，而且还根据空中交通管制的需要，规定了航线的宽度和飞行高度，以维护空中交通秩序，保证飞行安全。
改航,
推测领航,"推测领航是指飞行中根据航行仪表的指示和导航设备测定的地速向量，以推算出飞机位置，确定应飞航向的“领航”。由于天气条件较差，在不能直接目视地面的情况下，可以根据罗盘指示的航向和空速表指示的空速值，并结合风对航行的影响,在航空地图上推算出飞机位置，确定应飞航向，完成航行任务。推测领航和地标领航通常配合进行，利用推测领航可以给地标领航确定飞机位置提供依据，应用地标领航可以校准飞机的精确位置，从而完善领航方法，提髙航行的正确性。"
航路,航路：由国家统一划定的具有一定宽度的空中通道。有较完善的通信、导航设备，宽度通常为20KM。划定航路的目的是维护空中交通秩序，提高空间利用率，保证飞行安全。
真航向,真航向，指的是船舶航行时，真北线与船首线之间的夹角。真航向以真北线为基准，顺时针量至船首线。
磁航向,磁航向（Magnetic heading）是指飞机纵轴在地平面上的投影，与磁子午线的夹角（磁北为正，顺时针旋转）。应用在航行与空中交通管理的词语。
航线角,航线角是航线去向与当地经线的夹角。真航线角应当从航线起点和转弯点量取。
危险接近,"危险接近是指飞行中航空器之间的间隔过小,有可能造成碰撞的飞行状态。"
空中停车,空中停车是一般的航空用词之一，顾名思义，是指飞机发动机在起飞之后、落地之前在空中运行时，由于机械故障、电子系统故障、飞行操作失误、外来物影响（鸟击）等原因引起的发动机停止工作；发动机设计的缺陷，会导致发动机喘振，从而引起的空中停车，也是常见的问题。
空中劫持,空中劫持又称空盗，非法劫持。一种严重的国际性犯罪。指使用暴力、暴力威胁或其它恐吓方式，非法劫持飞行中的航空器或控制、改变其航线的行为，这种行为的特点是：(1)对作为运输工具的航空器，使用暴力迫使其改变原定航线，飞往另外的目的地，是一种侵犯社会合法权益的罪行。(2)指从航空器装载完毕后，机舱外部各门均已关闭后实施的犯罪。(3)是由同一航空器中的机组人员或乘客所进行的犯罪活动。
水上迫降,水上迫降指着陆场在海洋，湖泊等水面上，水上迫降要求尽可能的靠近陆地，水上迫降危险性高于陆地迫降。
应急撤离,紧急撤离也叫应急撤离。飞机遇险，机组按照相应预案和应急操作程序，听从机长和乘务长的指挥，快速应对，密切配合，维持客舱秩序，迅速指挥旅客撤离。
迷航,"迷航是迷失航行方向,也泛指迷失前进方向。"
超速警告,
失速警告,失速警告(stall warning)是 飞机接近失速时由飞机驾驶舱的“失速警告系统”向驾驶员发出警报。
减推力起飞,在保证安全的情况下，减小发动机的推力，减小推力后仍能满足规则和性能的要求，也叫灵活推力起飞，灵活推力起飞是减推力起飞的一种特殊形式
飞行签派,"飞行签派系指负责组织、安排、保障航空公司航空器的飞行与运行管理的工作。其主要任务是根据航空公司的运行计划，合理地组织航空器的飞行并进行运行管理，争取航班正常，提高服务质量和经济效益。为保证航空公司飞行安全与航空器的正常运行，提高经济效益,航空公司必须认真负责地做好飞行和航空器运行管理的各项专业工作。例如，拟定、申请飞行计划；派遣各项飞行任务;协调航空公司内、外关系及各项保障;签发航空器的运行许可;处理或协助处理有关特殊情况等。"
着陆跳跃,着陆跳跃指航空器接地后又迅速离地，或多次接地-离地的非正常的着陆状态。
越障限制重量,
单轮着陆,
等待油量,等待油量是指国际或地区运行时，飞机以等待速度在备降机场，或当不需要备降机场时在目的地机场上空450米（1500英尺）高度上在标准温度条件下飞行30分钟所需的油量。
着陆限制重量,
航段,飞机从起飞到下一个着陆之间的飞行，包括国际航段和国内航段。
跑道限制重量,
刹车能量限制重量,刹车能量限制重量是指用起飞离地速度等于轮胎限制速度确定的最大起飞重量。
最大滑行重量,
载重与平衡,空机重量：指航空器本身的结构重量、固定设备重量、油箱内不能利用或不能放出的燃油或润滑油的重量、散热系统中的液体重量等的总合。
爬升限制重量,
远程巡航速度,
久航速度,久航速度是指飞机平飞的燃油航时最大，耗尽其可用燃油而达到平飞最大留空时间的飞行速度。也可以理解为合理选择飞行，使飞机在单位时间内所耗燃料量最少，从而获得最长续航时间（又称“航时”）时所对应的巡航速度。久航速度即是飞机实现最久航时时所对应的飞行速度。航时久表明飞机留空活动时间长，既便于空中机动，又能减少出动架次。因此续航性能是飞机重要战术技术性能，也是评价飞机性能好坏的主要指标之一。对于民航机而言，航时和航程则影响运输的经济效益，更具有重要意义。
爬升距离,距离，在我们的生活中无处不在，哪怕你上街买个菜都是距离，在我们人生中{爬升距离}无处不在.
应急下降,应急下降是指飞机或降落伞等飞行器械在空中遇到特殊情况，在不得已的情况下为了保障生命财产安全而采用的紧急降落方式。
爬升时间,
陡升速度,陡升速度（speed for steepest climb），是指在给定重量和高度条件下，飞机以最大连续推力，取得最大爬升梯度所对应的速度。
最大航程速度,最大航程速度是指飞机在平飞的燃油里程最大，耗尽其可用燃油能达到平飞最大航程的速度。
经济速度,经济速度
快升速度,快升速度即对应于最大上升率时的速度。
机场运行最低标准,《航空器机场运行最低标准的制定与实施规定》是中国民用航空总局令 第98号 之内容
复飞点,定义：OCH（最低超障高度）与航空器下滑线的交点用途：航空器使用非精密进近方式进近时，若航空器驾驶员不能建立目视参考，则应选择复飞。
最低下降高,最低下降高是指在非精密进近或盘旋进近中，如不能建立必需的目视参考，则不能继续下降的特定高。以机场场面为基准。
决断高度,决断高度(DA)/决断高(DH)：Decision Altitude/ Decision Height，决断高度：精密进近时，如在通过决断高度时，发生使其不能降落的错误，应立即展开复飞程序。其中，决断高度(DA)以平均海平面为基准，决断高(DH)以，机场标高为基准。
最低下降高度,最低下降高度（MDA）是指在非精密进近或盘旋进近规定的高度。如果不能建立为继续进近所需的目视参考，不得下降至这个高度或高以下。
决断高,
警戒高,警戒高，根据飞机及其Ⅲ类故障-工作着陆系统的特性规定为驾驶员使用的高。
仪表着陆系统基准高,仪表着陆系统基准高指仪表着陆系统下滑道直线延伸通过跑道中线与跑道入口交点的高。
超障高度,
独立平行离场,
独立平行进近,
分开的平行运行,
过渡层,过渡层是一种建筑材料，属于砌体结构的一种。
过渡高度层,过渡高度层(Transition Level)是在过渡高度之上的最低可用飞行高度层。
最低扇区高度,
过渡高,过渡高指在机场空域规定的一个高，在这个高或以下，航空器的垂直位置是以高于机场基准面的高来控制。
过渡高度,过渡高度(Transition Altitude)是指一个特定的修正海平面气压高度，在此高度或以下，航空器的垂直位置按照修正海平面气压高度表示。
仪表着陆系统关键区,
直线进近着陆,
盘旋进近,
超障高,超障高指按照适当的超障准则确定的以机场标高或跑道入口的标高平面吴算高度基准的最低高度。
目视飞行规则的直线进近,目视飞行规则的直线进近是指飞机下降时对准跑道飞行的过程，在进近阶段，要使飞机调整高度，对准跑道，从而避开地面障碍物，飞行员必须要把注意力高度集中才能准确操作的规程。 
仪表飞行规则的直线进近,
基线转弯,"基线转弯是反向程序的一种机动飞行。从程序起航点起向 右或向左转与指定航迹夹一个修正角《后，停止转弯 开始计划,飞行规定时间后向反方向切人向电台航迹 (即对准着陆航迹）。修正角的大小由飞行 速度、转弯坡度、着陆航迹和平飞时间等因素确定。"
程序转弯,"程序转弯，起始进近航迹和最后进近航迹方向相反的一种机动飞行。飞行中先进行转弯脱离指定航迹,然...程序转弯可分两种：①45°/180°程序转弯，先按指定航迹平飞一段时间后增大或减小航向45°，平飞一段规定时间后接着反向转弯180°切入向电台航迹。"
非精密进近程序,非精密进近程序，即不提供电子下滑道引导的仪表进近程序。
仪表着陆系统敏感区,
I类进近着陆运行,
Ⅱ类进近着陆运行,
Ⅲ,表示罗马数字中的“3”
精密进近程序,精密进近程序（precision approach procedure），是指由仪表着陆系统或精密进近雷达提供精密的方位和下滑引导的仪表进近程序。
直角航线程序,直角航线程序指为使航空器在起始进近航段降低高度，或航空器进场时不适宜进入反向程序时使用的程序。
仪表进近程序,"仪表进近程序是为使航空器有秩序地从起始进近开始过渡到着 陆或至可进行目视着陆的一点而规定的一系列机动 飞行。亦即飞行员根据目视和仪表的指示，按照指 定的运行路线，完成下降飞行高度，调整飞行速度和 飞机构形，对准跑道着陆。一旦未能正常着陆，则必 须操纵飞机增速及爬升到继续飞行的安全髙度（复起始于中间进近定位点（IF),终止于最后进近定位 点(FAF:final approach fix)。"
反向程序,
着陆进场,
等待点,
等待程序,
航行情报服务,航行情报服务为所有飞行运行、飞行机组及负责飞行情报服务、空中交通服务的单位提供有关空中航行的安全、正常和效率所必需的情报和资料的服务。
目视飞行规则,目视飞行规则指在可见天地线和地标的条件下，能够判明航空器飞行状态和目视判定方位的飞行。目视飞行机长对航空器间隔、距离及安全高度负责。
目视气象条件,
仪表气象条件,能见度、距云的距离和云高小于为目视气象条件规定的仪表指示最小数值的气象条件。
仪表飞行规则,仪表飞行是完全或者部分地按照航行驾驶仪表，判定航空器飞行状态及其位置的飞行。必须按照IFR飞行：IMC（低于目视气象条件）；云层、云裳目视气象条件；夜间飞行；高度6000m以上；必须具有姿态指引、高度指示、位置判断和时钟等设备。
标准仪表离场,
标准进场航线,
机场起落航线,机场起落航线，是指为在机场进行起飞或着陆的飞机所规定的交通668流程。典型的起、落航线包括四个转弯点和五条边的方块航线。它们分别为第1边（上风边）、第2边（侧风边）、第3边（下风边）、第4边（基线边）和第5边（最后进近边），见示意图。飞行中按规定的高度、速度、航向及有关程序操纵飞机起飞和着陆。以起飞方向为准，向左转弯称“左航线”、向右转弯称“右航线”。
飞行计划,飞行计划，是指向空中交通服务单位提供有关航空器完成一次飞行的飞行资料。执行航班飞行的飞机，飞行前要根据当时的气象、机场、飞机情况和有关的限制规定，计算并确定该次飞行能装载的最大客、货业载量，以及完成该次飞行所需的时间和燃油量。提供的飞行资料有：①起飞、爬升、巡航、下降等各阶段的速度、高度、水平距离。②飞机质量数据，包括各种限制质量和实际质量，完成飞行任务需要的油量和备用油量。③备降机场以及航路的有关资料。④航路上有关风速、风向的数据。飞行计划是按规定的飞行剖面和选定的飞行速度计算得到的，对保证飞行安全和提髙经济性有重要作用。
空中交通流量管理,空中交通流量管理【air traffic flow management （缩写为ATFM）】是指有助于空中交通安全、有序和快捷地流通，以确保最大限度地利用空中交通管制服务【ATC】的容量并符合有关空中交通服务当局公布的标准和容量，保证空中交通最佳地流向或通过特定区域；为飞机运营者提供及时、精确的信息以规划和实施一种经济的空中运输，为尽可能准确地预报飞行情报而减少延误而设置的服务。
横向间隔,
垂直间隔,
流量控制,流量控制（traffic control）在不同的领域有不同的含义。如航空流量控制，网络流量控制等。网络流量控制（Network traffic control）是利用软件或硬件方式来实现对网络数据流量进行控制的一种措施。
纵向间隔,
雷达间隔,
雷达引导,雷达引导是指在利用地面雷达对飞机定位的基础上，以特定的应飞方向形式向航空器提供引导的过程
监视雷达,监视雷达主要指地面对空监视雷达。监视雷达是应用最早，使用最广泛的雷达，几乎各个主要的独立国家，都有自己的国家防空系统，监视雷达是防空系统中的主要装备。
雷达监控,雷达监控（radar monitoring），是指使用雷达提供航空器活动信息，对明显偏离飞行计划和交通冲突进行监督。
管制移交点,
限飞区,
间隔最低标准,间隔最低标准指空中交通管制为保证航空器飞行中和起飞着陆时的安全和有秩序地运行所规定的航空器之间最小纵向、横向和垂直间隔。
雷达跟踪,跟踪雷达是能连续跟踪一个目标并测量目标坐标的雷达。它还能提供目标的运动轨迹。
机场管制塔台,
管制地带,
空中走廊,空中走廊，是在两点连线的两侧各有5公里宽度的空中飞行通道，供航空器在走廊内实施点与点之间的飞行，最小不得小于4公里。使航空器严格按照走廊进行飞行，避免航空器进入走廊之外的限制区域。
机场交通,机场交通是指在机场机动区的航空器和车辆的交通活动，交通工具包括在机场附近和起落航线上飞行的所有航空器。
禁飞区,禁飞区又称禁航区，指某一领地的上空禁止任何未经特别申请许可的飞行器飞入或飞越的空域。目前主要的禁飞区有伊拉克禁飞区、波黑禁飞区；2011年3月，联合国在利比亚设置了禁飞区。
危险区,危险区是指弹头膛外弹道中，比较接近地面而能击中人体目标的区域，从弹头高度低到能击中人的头部的接触点（first catch）那一点算起，到弹头的着地点（first graze）为止，二者之间的地带。
终端管制区,
飞航情报区,飞行情报区（英语：Flight Information Region），简称FIR，是由国际民航组织（ICAO）所划定，是指为提供飞航情报服务和告警服务而划定范围的空间。根据实施空中交通业务的需要，大多数国家将其所辖空域划成若干飞行情报区。公海上空的飞行情报区，则是根据国际民用航空组织地区航行协议划分的，并委托《国际民用航空公约》的缔约国提供空中交通业务。区分各个国家或地区在该区的航管及航空情报服务的责任区。中国大陆分10个飞航情报区，台湾1个。
自动终端情报服务,自动终端情报服务(简称ATIS) 是在繁忙的机场自动连续播放的信息服务，通常在一个单独的无线电频率上进行广播，包括主要的与飞行相关的信息，如天气、可用跑道、气压及高度表拨正值等信息。
飞行情报,与飞行安全和效率有关的情报，包括空中交通的情报、气象情况、机场条件和航路设施等。
空中交通服务,空中交通服务是空中交通管制单位为飞行中的民用航空器提供的服务。
空中交通管理,"空中交通管理（air traffic management,ATM）的任务是：有效的维护和促进空中交通安全，维护空中交通秩序，保障空中交通畅通。空中交通管理包括空中交通服务，空中交通流量管理和空域管理三大部分。"
空中交通,空中交通包括飞行器在空中的飞行状态、飞行路线、两机交汇等情况。体现为空中交通网，主要应用于空中交通管理。
低空飞行,低空飞行是距地面100m到1000m之间的飞行，适用于训练、伞降、空投、侦察、强击和农林等作业。另：按飞行高度分为超低空飞行（离地面100m以下，可用于农林作业、旅游、搜索和救援、强击和脱离敌区等）、低空飞行（高度在100--1000m，可用于训练、伞降、空投、侦察、强击和农林作业等）、中空飞行（高度在1000—7000m，可用于训练、巡逻、轰炸和航线飞行）、高空飞行（高度在7000—15000m，可用于训练、侦察、轰炸、拦击、巡逻和航线飞行）、超高空飞行（高度大于15000m，可用于侦察、截击等）航空器在大气层内飞行，飞行高度一般在30Km以内；火箭和导弹大多在大气层内飞行，而运载火箭和弹道导弹既在大气层内飞行，又在大气层外飞行；航天器是在大气层外的太空中飞行。按飞行速度分为五种情况：低速飞行（M<0.3）、亚声速飞行（M=0.3~0.8）、跨声速飞行（M=0.8~1.4）、超声速飞行（M=1.4~5.0）、高超声速飞行（M>5.0）。
中空飞行,
超低空飞行,飞行高度距离海平面或地面100m以下的飞行叫超低空飞行。
,
管制扇区,管制扇区是指一块划定容积的扇形空域。通常设在某一管制中心或某一进近管制单位内，并以此为基点，按一定距离为半径，画一个圆，在该圆内划分若干扇形区域，某一扇形区间有一名或一组交通管制员负有管制职责。扇区大小是根据交通流量、飞行高度层次和管制员的工作量来确定的。在某一扇区内飞行的航空器应保持给定的无线电专用频率进行通信。制约它的经济和军事活动，如有违犯，即进行军事干预。
加班飞行,
包机飞行,包机飞行是指包机单位提出申请，经承运人同意并签定包机合同，包用航空公司的飞机，在固定和非固定的航线上，按约定的起飞时间、航程、载运旅客及货物等的飞行。
专机飞行,
调机飞行,
航班飞行,
高度表拨正,高度表拨正，是指为满足各飞行阶段对所测飞行高度不同的要求，或适应气压变化的情况而拨正高度表（即订正基准气压面）的动作。在各飞行阶段，要求髙度表指示航空器与选定气压面的垂直距离（飞行高度）。例如，航空器起飞、降落或在机场区域内飞行时，要求指示航空器距机场气压面的高度；航线上飞行时，要求指示航空器与标准气压101325Pa气压面之间的高度；航空器执行专业飞行任务时，需要指示航空器与地面某目标气压面之间的高度；航空器保持超越障碍物规定的垂直间隔时，要求指示航空器和平均海平面气压面之间的高度。
飞行高度层,飞行高度层，是有关飞行的术语。根据2007年10月国务院、中央军事委员会修订的中华人民共和国飞行基本规则规定： “航路、航线飞行或者转场飞行的垂直间隔，按照飞行高度层配备。
最低安全高度,最低安全高度的意义是保证航空器与地面障碍物之间的最低垂直间隔，保障航班安全。
飞行高,飞行高指飞行中某一规定基准面至航空器之间的垂直距离，是飞行术语。
标准气压高度,标准气压高度，是指飞行中飞机相对于标准气压面的垂直距离。空中飞行的许多飞机，如果按各自选择不同基准面飞行，有可能在两机相近或交会时发生相撞事故。为此，规定在航线和转场飞行时，统一以101325Pa气压面为基准，并以此来调整飞机间的垂直间隔，实行空中交通管制，保证飞行安全。国际民航组织采用标准气压髙度来划分高度层。
国际投影图,
航迹,航迹，是指船舶和水上飞行器等航行时的轨迹。船舶在航行中，会受到各种因素的影响和干扰而产生航行误差，所以航迹一般不会是直线。常将相邻推算船位的连线称为推算航迹，相邻观测船位的连线称为实际航迹。
航空地图,航空地图是供航空使用的各种专用图的统称。
偏航距离,
场面气压高度,场面气压高度，是指选择机场平面为基准所测量的高度。即气压式高度表订入机场平面的气压后，高度表所指示的高度。飞行中实际反应的高度就是航空器与该机场平面的垂直距离。
区域导航,"区域导航(RNAV)是指允许在飞行员确立的点之间的任何直接航路上进行电子的航向引导。用无线电定位或其他定位方法可以定出飞机的绝对位置(地理坐标)和/或飞机相对于计划航线的位置,从实践和设备上不需飞向或飞越导航台,因而可以由不设导航台的航路点之间的线段连接而成,使得航线编排更加灵活,这种实施导航的方法称为区域导航。"
航路点,
偏航修正角,
偏流,偏流是航迹线偏离航向线的夹角，角度为0－ ±180°。
偏航角,偏航角是机体轴xt在水平面上的投影与地轴xd之间的夹角。
飞行高度,飞行高度是指飞行器在空中至某一基准水平面的垂直距离。2007年10月国务院、中央军事委员会修订的《中华人民共和国飞行基本规则
偏流角,偏流角，是指飞机在空中飞行时，飞机相对空气运动的方向（航向）同相对地面运动的方向（航迹角）之间的夹角。也可以理解为飞机飞行时在大地平面上机身纵轴方向和地速方向之间的夹角。偏流角的方向以航向为基准，顺时针转向航迹为正，逆时针转向航迹为负。
航迹角,航迹角就是航空摄影飞行中航迹线与计划航线或图廓线之间的夹角。主要是由于测定偏流角不准确，或因飞行速度和风向改变未能及时修正所引起。量取法：以经线（地磁、地理）为基准，顺时针量取与航迹去向的夹角，即为航迹角。计算法：航向加正负偏流，等于航迹角。
返航,返航就是返回原地的航程，船舶、飞机等驶回或飞回出发的地方。
偏航,偏航是飞机绕机体坐标系竖轴的短时旋转运动。竖轴通过飞机重心在飞机对称平面内并垂直于纵轴。偏航运动的主要参数有偏航角、偏航角速度、偏航角加速度。偏航运动通过踩脚蹬使方向舵偏转产生绕飞机重心的偏航力矩来实现。
导航,导航是一个研究领域，重点是监测和控制工艺或车辆从一个地方移动到另一个地方的过程。 导航领域包括四个一般类别：陆地导航，海洋导航，航空导航和空间导航。这也是用于导航员执行导航任务所使用的专业知识的艺术术语。 所有导航技术都涉及定位与已知位置或模式相比较的导航仪的位置。在更广泛的意义上，导航可以指涉及确定位置和方向的任何技能或研究。在这个意义上，导航包括定向运动和行人导航。
归航,《归航》是香港歌手方伊琪于1982年发行的同名粤语专辑主打歌。该曲通过生动的音乐意像展现了波光粼粼的海面上，朝阳升起时，意气风发地唱着歌儿扬帆出海；日暮夕照下，和着水花飞溅的乐音深情归航的美丽图卷。归航是一首进行曲风格的流行歌 ，即使在悠远抒情的副歌， 进行的动力也非但没有被冲淡，航行于浩瀚海上渔舟中人那深沉的坚韧与宽广无限的柔情被逐层推高，并歌颂着一种融合于自然的有为思想。
领航,领航，引导船舶、飞机或飞艇按预定航线航行，为轰炸机领航领航也指测定航空器位置，引领航空器沿预定航线飞行，准时到达指定地点(或目标)的活动。通常包括空中领航和地面引导。
